elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
1661,0,0,30,0,0,68,0,0,146,0,0,164
1530,0,0,110,0,0,68,0,1,15,0,1,96
2189,0,1,163,0,1,163,0,1,62,0,1,63
1556,0,1,352,0,0,109,1,1,43,1,1,13
1833,0,1,73,0,1,45,0,1,201,0,0,241
2101,0,1,0,1,1,40,1,1,18,1,1,10
1696,0,0,1,1,1,50,0,1,0,0,1,27
924,0,0,52,0,1,137,0,0,181,0,0,184
2205,0,0,15,0,1,12,1,1,13,0,1,45
1229,0,0,15,1,1,2,1,1,0,1,1,3
1748,0,0,63,0,0,72,0,0,136,0,0,98
1957,0,1,542,0,0,587,0,0,38,0,1,15
2344,0,0,420,0,0,438,0,0,423,0,0,421
2234,0,0,87,0,0,80,1,1,0,0,1,13
1190,0,0,13,0,1,61,0,0,27,0,0,48
1413,1,1,9,1,1,13,1,1,47,0,0,6
1992,0,1,18,0,0,28,0,0,10,0,1,21
944,0,1,199,0,1,173,1,1,0,1,1,5
1096,0,0,405,0,0,405,0,0,491,0,0,553
1957,0,1,0,1,1,45,0,1,66,1,1,19
1523,0,0,2,0,0,201,0,1,0,1,1,0
1659,1,1,20,1,1,0,0,1,63,0,0,126
1715,0,1,0,1,1,2,0,1,3,0,0,0
1913,1,1,0,1,1,0,1,1,0,1,1,0
1197,0,0,18,0,1,25,0,0,98,0,0,125
1913,0,1,45,0,1,1,0,0,40,0,0,104
1760,0,1,20,0,1,58,1,1,87,1,1,0
2187,0,0,141,0,0,0,1,1,1306,0,1,0
2108,0,0,6,0,1,84,0,0,4,1,1,12
1908,1,1,0,1,1,0,0,1,96,0,0,122
1399,0,1,39,0,1,92,0,1,0,1,1,0
1510,1,1,48,1,1,276,1,1,37,1,1,0
1824,0,1,2,0,1,30,0,1,31,1,1,11
1951,1,1,0,1,1,34,1,1,20,0,1,25
1827,0,1,41,0,1,0,0,1,0,0,1,51
1432,0,1,5,0,1,85,0,0,25,1,1,0
1007,1,1,0,1,1,0,0,1,1,0,1,0
1231,1,1,0,1,1,0,1,1,2,0,1,0
1913,0,0,46,0,1,59,0,1,11,0,1,88
1301,0,0,0,1,1,5,0,1,0,1,1,16
