low,high,game,low_is_white,score_low
32,64,0,1,0.0
32,64,0,0,0.0
32,64,1,1,0.0
32,64,1,0,1.0
32,64,2,1,1.0
32,64,2,0,0.0
32,64,3,1,1.0
32,64,3,0,0.0
32,64,4,1,0.0
32,64,4,0,0.0
32,64,5,1,0.0
32,64,5,0,0.5
32,64,6,1,0.5
32,64,6,0,1.0
32,64,7,1,0.0
32,64,7,0,0.5
32,64,8,1,1.0
32,64,8,0,0.5
32,64,9,1,0.0
32,64,9,0,1.0
32,64,10,1,0.0
32,64,10,0,0.0
32,64,11,1,0.5
32,64,11,0,0.5
32,64,12,1,0.0
32,64,12,0,0.5
32,64,13,1,0.0
32,64,13,0,0.5
32,64,14,1,0.5
32,64,14,0,0.0
32,64,15,1,1.0
32,64,15,0,0.0
32,64,16,1,0.5
32,64,16,0,0.5
32,64,17,1,0.5
32,64,17,0,0.5
32,64,18,1,1.0
32,64,18,0,0.0
32,64,19,1,0.5
32,64,19,0,1.0
32,64,20,1,0.5
32,64,20,0,0.0
32,64,21,1,1.0
32,64,21,0,0.0
32,64,22,1,0.5
32,64,22,0,0.5
32,64,23,1,1.0
32,64,23,0,0.5
32,64,24,1,1.0
32,64,24,0,0.0
32,64,25,1,0.5
32,64,25,0,0.5
32,64,26,1,1.0
32,64,26,0,0.0
32,64,27,1,0.0
32,64,27,0,1.0
32,64,28,1,0.0
32,64,28,0,0.0
32,64,29,1,0.5
32,64,29,0,1.0
64,256,0,1,0.0
64,256,0,0,0.5
64,256,1,1,1.0
64,256,1,0,0.0
64,256,2,1,1.0
64,256,2,0,0.0
64,256,3,1,0.0
64,256,3,0,1.0
64,256,4,1,1.0
64,256,4,0,0.0
64,256,5,1,1.0
64,256,5,0,0.5
64,256,6,1,0.0
64,256,6,0,1.0
64,256,7,1,1.0
64,256,7,0,0.5
64,256,8,1,0.0
64,256,8,0,1.0
64,256,9,1,0.0
64,256,9,0,1.0
64,256,10,1,0.0
64,256,10,0,0.0
64,256,11,1,0.5
64,256,11,0,0.5
64,256,12,1,0.5
64,256,12,0,1.0
64,256,13,1,0.0
64,256,13,0,0.5
64,256,14,1,1.0
64,256,14,0,0.0
64,256,15,1,0.0
64,256,15,0,0.5
64,256,16,1,1.0
64,256,16,0,0.0
64,256,17,1,0.0
64,256,17,0,0.0
64,256,18,1,0.0
64,256,18,0,0.0
64,256,19,1,0.5
64,256,19,0,1.0
64,256,20,1,0.0
64,256,20,0,1.0
64,256,21,1,0.0
64,256,21,0,0.0
64,256,22,1,0.5
64,256,22,0,1.0
64,256,23,1,0.0
64,256,23,0,0.0
64,256,24,1,0.5
64,256,24,0,1.0
64,256,25,1,1.0
64,256,25,0,1.0
64,256,26,1,0.0
64,256,26,0,0.5
64,256,27,1,0.5
64,256,27,0,0.5
64,256,28,1,0.0
64,256,28,0,0.5
64,256,29,1,0.0
64,256,29,0,1.0
256,1024,0,1,0.0
256,1024,0,0,0.5
256,1024,1,1,0.0
256,1024,1,0,0.5
256,1024,2,1,0.0
256,1024,2,0,0.5
256,1024,3,1,0.5
256,1024,3,0,0.0
256,1024,4,1,0.5
256,1024,4,0,0.0
256,1024,5,1,1.0
256,1024,5,0,0.0
256,1024,6,1,0.0
256,1024,6,0,0.0
256,1024,7,1,0.0
256,1024,7,0,0.0
256,1024,8,1,0.0
256,1024,8,0,0.0
256,1024,9,1,0.0
256,1024,9,0,0.0
256,1024,10,1,0.0
256,1024,10,0,0.0
256,1024,11,1,0.0
256,1024,11,0,0.0
256,1024,12,1,0.5
256,1024,12,0,0.0
256,1024,13,1,0.0
256,1024,13,0,0.0
256,1024,14,1,0.0
256,1024,14,0,0.5
256,1024,15,1,0.0
256,1024,15,0,0.0
256,1024,16,1,0.0
256,1024,16,0,0.0
256,1024,17,1,0.0
256,1024,17,0,0.5
256,1024,18,1,0.0
256,1024,18,0,0.0
256,1024,19,1,0.0
256,1024,19,0,0.5
256,1024,20,1,0.0
256,1024,20,0,0.0
256,1024,21,1,0.0
256,1024,21,0,0.0
256,1024,22,1,1.0
256,1024,22,0,0.0
256,1024,23,1,0.0
256,1024,23,0,0.0
256,1024,24,1,0.0
256,1024,24,0,0.0
256,1024,25,1,0.0
256,1024,25,0,0.0
256,1024,26,1,0.0
256,1024,26,0,0.0
256,1024,27,1,0.0
256,1024,27,0,0.0
256,1024,28,1,0.0
256,1024,28,0,0.0
256,1024,29,1,0.0
256,1024,29,0,0.0
1024,4096,0,1,0.0
1024,4096,0,0,0.0
1024,4096,1,1,0.0
1024,4096,1,0,0.0
1024,4096,2,1,0.0
1024,4096,2,0,0.0
1024,4096,3,1,0.0
1024,4096,3,0,0.0
1024,4096,4,1,0.0
1024,4096,4,0,0.0
1024,4096,5,1,0.0
1024,4096,5,0,0.0
1024,4096,6,1,0.0
1024,4096,6,0,0.0
1024,4096,7,1,0.0
1024,4096,7,0,0.0
1024,4096,8,1,0.0
1024,4096,8,0,0.0
1024,4096,9,1,0.0
1024,4096,9,0,0.0
1024,4096,10,1,0.0
1024,4096,10,0,0.0
1024,4096,11,1,0.5
1024,4096,11,0,0.0
1024,4096,12,1,0.0
1024,4096,12,0,0.0
1024,4096,13,1,0.0
1024,4096,13,0,0.0
1024,4096,14,1,0.0
1024,4096,14,0,0.0
1024,4096,15,1,0.0
1024,4096,15,0,0.0
1024,4096,16,1,0.0
1024,4096,16,0,0.0
1024,4096,17,1,0.5
1024,4096,17,0,0.0
1024,4096,18,1,0.0
1024,4096,18,0,0.0
1024,4096,19,1,0.0
1024,4096,19,0,0.5
1024,4096,20,1,0.0
1024,4096,20,0,0.5
1024,4096,21,1,0.5
1024,4096,21,0,0.0
1024,4096,22,1,0.0
1024,4096,22,0,0.0
1024,4096,23,1,0.0
1024,4096,23,0,0.0
1024,4096,24,1,0.0
1024,4096,24,0,0.0
1024,4096,25,1,0.0
1024,4096,25,0,0.0
1024,4096,26,1,0.0
1024,4096,26,0,0.0
1024,4096,27,1,0.5
1024,4096,27,0,0.0
1024,4096,28,1,0.0
1024,4096,28,0,0.0
1024,4096,29,1,0.0
1024,4096,29,0,0.0
4096,16384,0,1,0.0
4096,16384,0,0,0.0
4096,16384,1,1,0.0
4096,16384,1,0,0.0
4096,16384,2,1,1.0
4096,16384,2,0,0.0
4096,16384,3,1,0.0
4096,16384,3,0,0.0
4096,16384,4,1,0.0
4096,16384,4,0,0.0
4096,16384,5,1,0.0
4096,16384,5,0,0.0
4096,16384,6,1,0.0
4096,16384,6,0,0.0
4096,16384,7,1,0.0
4096,16384,7,0,0.0
4096,16384,8,1,0.0
4096,16384,8,0,0.0
4096,16384,9,1,0.0
4096,16384,9,0,0.5
4096,16384,10,1,0.0
4096,16384,10,0,0.0
4096,16384,11,1,0.0
4096,16384,11,0,0.0
4096,16384,12,1,0.0
4096,16384,12,0,0.5
4096,16384,13,1,0.0
4096,16384,13,0,0.0
4096,16384,14,1,0.0
4096,16384,14,0,0.0
4096,16384,15,1,0.5
4096,16384,15,0,0.0
4096,16384,16,1,0.0
4096,16384,16,0,0.0
4096,16384,17,1,0.0
4096,16384,17,0,0.0
4096,16384,18,1,0.0
4096,16384,18,0,0.0
4096,16384,19,1,0.0
4096,16384,19,0,0.0
4096,16384,20,1,0.0
4096,16384,20,0,0.5
4096,16384,21,1,0.5
4096,16384,21,0,0.5
4096,16384,22,1,0.0
4096,16384,22,0,0.0
4096,16384,23,1,0.0
4096,16384,23,0,0.5
4096,16384,24,1,1.0
4096,16384,24,0,0.0
4096,16384,25,1,0.0
4096,16384,25,0,0.0
4096,16384,26,1,0.0
4096,16384,26,0,0.0
4096,16384,27,1,0.5
4096,16384,27,0,0.0
4096,16384,28,1,0.0
4096,16384,28,0,0.0
4096,16384,29,1,0.0
4096,16384,29,0,0.0
16384,65536,0,1,0.5
16384,65536,0,0,0.5
16384,65536,1,1,0.0
16384,65536,1,0,0.5
16384,65536,2,1,0.0
16384,65536,2,0,0.5
16384,65536,3,1,0.5
16384,65536,3,0,0.0
16384,65536,4,1,0.0
16384,65536,4,0,0.0
16384,65536,5,1,0.5
16384,65536,5,0,0.0
16384,65536,6,1,0.0
16384,65536,6,0,0.0
16384,65536,7,1,0.0
16384,65536,7,0,0.5
16384,65536,8,1,0.5
16384,65536,8,0,0.5
16384,65536,9,1,0.0
16384,65536,9,0,0.5
16384,65536,10,1,0.5
16384,65536,10,0,0.0
16384,65536,11,1,0.0
16384,65536,11,0,0.0
16384,65536,12,1,0.5
16384,65536,12,0,0.5
16384,65536,13,1,0.5
16384,65536,13,0,0.0
16384,65536,14,1,0.0
16384,65536,14,0,0.0
16384,65536,15,1,0.5
16384,65536,15,0,0.0
16384,65536,16,1,0.0
16384,65536,16,0,0.0
16384,65536,17,1,0.0
16384,65536,17,0,0.0
16384,65536,18,1,0.0
16384,65536,18,0,0.0
16384,65536,19,1,0.0
16384,65536,19,0,0.0
16384,65536,20,1,0.0
16384,65536,20,0,0.0
16384,65536,21,1,0.0
16384,65536,21,0,0.5
16384,65536,22,1,0.0
16384,65536,22,0,0.5
16384,65536,23,1,0.0
16384,65536,23,0,0.0
16384,65536,24,1,0.0
16384,65536,24,0,0.0
16384,65536,25,1,0.0
16384,65536,25,0,0.0
16384,65536,26,1,0.5
16384,65536,26,0,0.0
16384,65536,27,1,0.5
16384,65536,27,0,0.0
16384,65536,28,1,0.5
16384,65536,28,0,0.0
16384,65536,29,1,0.0
16384,65536,29,0,0.0
MATERIAL,32,0,1,0.0
MATERIAL,32,0,0,0.0
MATERIAL,32,1,1,0.0
MATERIAL,32,1,0,0.5
MATERIAL,32,2,1,0.0
MATERIAL,32,2,0,0.0
MATERIAL,32,3,1,0.0
MATERIAL,32,3,0,0.0
MATERIAL,32,4,1,0.0
MATERIAL,32,4,0,0.0
MATERIAL,32,5,1,0.0
MATERIAL,32,5,0,0.0
MATERIAL,32,6,1,0.0
MATERIAL,32,6,0,0.0
MATERIAL,32,7,1,0.0
MATERIAL,32,7,0,0.5
MATERIAL,32,8,1,0.0
MATERIAL,32,8,0,0.0
MATERIAL,32,9,1,0.5
MATERIAL,32,9,0,0.0
MATERIAL,32,10,1,0.5
MATERIAL,32,10,0,0.0
MATERIAL,32,11,1,0.0
MATERIAL,32,11,0,0.0
MATERIAL,32,12,1,0.0
MATERIAL,32,12,0,0.0
MATERIAL,32,13,1,0.5
MATERIAL,32,13,0,0.0
MATERIAL,32,14,1,0.0
MATERIAL,32,14,0,0.0
MATERIAL,32,15,1,0.0
MATERIAL,32,15,0,0.0
MATERIAL,32,16,1,0.0
MATERIAL,32,16,0,0.5
MATERIAL,32,17,1,0.0
MATERIAL,32,17,0,0.0
MATERIAL,32,18,1,0.0
MATERIAL,32,18,0,0.0
MATERIAL,32,19,1,0.0
MATERIAL,32,19,0,0.0
MATERIAL,32,20,1,0.0
MATERIAL,32,20,0,0.0
MATERIAL,32,21,1,0.0
MATERIAL,32,21,0,0.0
MATERIAL,32,22,1,0.0
MATERIAL,32,22,0,0.0
MATERIAL,32,23,1,0.0
MATERIAL,32,23,0,0.0
MATERIAL,32,24,1,0.0
MATERIAL,32,24,0,0.5
MATERIAL,32,25,1,0.0
MATERIAL,32,25,0,0.0
MATERIAL,32,26,1,0.5
MATERIAL,32,26,0,0.0
MATERIAL,32,27,1,0.0
MATERIAL,32,27,0,0.0
MATERIAL,32,28,1,0.0
MATERIAL,32,28,0,0.0
MATERIAL,32,29,1,0.0
MATERIAL,32,29,0,0.0
MATERIAL,64,0,1,0.0
MATERIAL,64,0,0,0.0
MATERIAL,64,1,1,0.0
MATERIAL,64,1,0,0.0
MATERIAL,64,2,1,0.0
MATERIAL,64,2,0,0.0
MATERIAL,64,3,1,0.0
MATERIAL,64,3,0,0.0
MATERIAL,64,4,1,0.0
MATERIAL,64,4,0,0.0
MATERIAL,64,5,1,0.0
MATERIAL,64,5,0,0.0
MATERIAL,64,6,1,0.0
MATERIAL,64,6,0,0.0
MATERIAL,64,7,1,0.0
MATERIAL,64,7,0,0.0
MATERIAL,64,8,1,0.5
MATERIAL,64,8,0,0.0
MATERIAL,64,9,1,0.0
MATERIAL,64,9,0,0.0
MATERIAL,64,10,1,0.0
MATERIAL,64,10,0,0.0
MATERIAL,64,11,1,0.0
MATERIAL,64,11,0,0.0
MATERIAL,64,12,1,0.5
MATERIAL,64,12,0,0.0
MATERIAL,64,13,1,0.0
MATERIAL,64,13,0,0.0
MATERIAL,64,14,1,0.0
MATERIAL,64,14,0,0.0
MATERIAL,64,15,1,0.0
MATERIAL,64,15,0,0.0
MATERIAL,64,16,1,0.0
MATERIAL,64,16,0,0.0
MATERIAL,64,17,1,0.0
MATERIAL,64,17,0,0.0
MATERIAL,64,18,1,1.0
MATERIAL,64,18,0,0.5
MATERIAL,64,19,1,0.0
MATERIAL,64,19,0,0.0
MATERIAL,64,20,1,0.0
MATERIAL,64,20,0,0.0
MATERIAL,64,21,1,0.5
MATERIAL,64,21,0,0.0
MATERIAL,64,22,1,0.0
MATERIAL,64,22,0,0.0
MATERIAL,64,23,1,0.0
MATERIAL,64,23,0,0.0
MATERIAL,64,24,1,0.0
MATERIAL,64,24,0,0.0
MATERIAL,64,25,1,0.0
MATERIAL,64,25,0,0.0
MATERIAL,64,26,1,0.0
MATERIAL,64,26,0,0.0
MATERIAL,64,27,1,0.0
MATERIAL,64,27,0,0.0
MATERIAL,64,28,1,0.0
MATERIAL,64,28,0,0.0
MATERIAL,64,29,1,0.0
MATERIAL,64,29,0,0.0
