maia,rung,game,maia_is_white,score_maia
5M,32,0,1,0.0
5M,32,0,0,0.5
5M,32,1,1,0.0
5M,32,1,0,1.0
5M,32,2,1,0.5
5M,32,2,0,1.0
5M,32,3,1,0.5
5M,32,3,0,0.0
5M,32,4,1,0.0
5M,32,4,0,0.0
5M,32,5,1,0.0
5M,32,5,0,0.0
5M,32,6,1,0.5
5M,32,6,0,1.0
5M,32,7,1,0.0
5M,32,7,0,0.5
5M,32,8,1,0.0
5M,32,8,0,0.0
5M,32,9,1,0.5
5M,32,9,0,0.5
5M,32,10,1,0.0
5M,32,10,0,0.0
5M,32,11,1,0.5
5M,32,11,0,0.5
5M,32,12,1,0.5
5M,32,12,0,0.5
5M,32,13,1,0.0
5M,32,13,0,0.0
5M,32,14,1,0.5
5M,32,14,0,0.5
5M,256,0,1,0.0
5M,256,0,0,0.5
5M,256,1,1,0.0
5M,256,1,0,0.0
5M,256,2,1,0.0
5M,256,2,0,0.5
5M,256,3,1,1.0
5M,256,3,0,0.0
5M,256,4,1,0.0
5M,256,4,0,0.0
5M,256,5,1,0.0
5M,256,5,0,0.0
5M,256,6,1,0.5
5M,256,6,0,0.0
5M,256,7,1,0.0
5M,256,7,0,1.0
5M,256,8,1,0.5
5M,256,8,0,0.0
5M,256,9,1,0.0
5M,256,9,0,0.0
5M,256,10,1,0.0
5M,256,10,0,0.0
5M,256,11,1,0.0
5M,256,11,0,0.0
5M,256,12,1,0.0
5M,256,12,0,0.0
5M,256,13,1,0.0
5M,256,13,0,0.0
5M,256,14,1,1.0
5M,256,14,0,0.0
23M,32,0,1,1.0
23M,32,0,0,0.0
23M,32,1,1,0.5
23M,32,1,0,0.5
23M,32,2,1,0.0
23M,32,2,0,0.0
23M,32,3,1,0.5
23M,32,3,0,0.5
23M,32,4,1,0.5
23M,32,4,0,0.0
23M,32,5,1,1.0
23M,32,5,0,0.0
23M,32,6,1,0.0
23M,32,6,0,1.0
23M,32,7,1,1.0
23M,32,7,0,0.5
23M,32,8,1,0.0
23M,32,8,0,1.0
23M,32,9,1,0.0
23M,32,9,0,0.0
23M,32,10,1,0.0
23M,32,10,0,0.0
23M,32,11,1,0.5
23M,32,11,0,0.0
23M,32,12,1,0.0
23M,32,12,0,0.0
23M,32,13,1,0.5
23M,32,13,0,1.0
23M,32,14,1,1.0
23M,32,14,0,0.0
23M,256,0,1,1.0
23M,256,0,0,0.0
23M,256,1,1,0.0
23M,256,1,0,0.5
23M,256,2,1,0.5
23M,256,2,0,0.0
23M,256,3,1,0.0
23M,256,3,0,0.0
23M,256,4,1,0.0
23M,256,4,0,0.5
23M,256,5,1,0.0
23M,256,5,0,0.0
23M,256,6,1,0.0
23M,256,6,0,0.5
23M,256,7,1,0.0
23M,256,7,0,0.5
23M,256,8,1,0.0
23M,256,8,0,0.0
23M,256,9,1,0.0
23M,256,9,0,0.0
23M,256,10,1,0.0
23M,256,10,0,0.0
23M,256,11,1,0.0
23M,256,11,0,0.0
23M,256,12,1,0.0
23M,256,12,0,0.0
23M,256,13,1,0.0
23M,256,13,0,0.0
23M,256,14,1,1.0
23M,256,14,0,0.5
79M,32,0,1,1.0
79M,32,0,0,0.0
79M,32,1,1,1.0
79M,32,1,0,1.0
79M,32,2,1,1.0
79M,32,2,0,0.5
79M,32,3,1,0.5
79M,32,3,0,0.5
79M,32,4,1,1.0
79M,32,4,0,0.0
79M,32,5,1,1.0
79M,32,5,0,1.0
79M,32,6,1,0.5
79M,32,6,0,0.5
79M,32,7,1,0.5
79M,32,7,0,0.5
79M,32,8,1,0.0
79M,32,8,0,0.5
79M,32,9,1,0.0
79M,32,9,0,0.0
79M,32,10,1,0.5
79M,32,10,0,1.0
79M,32,11,1,0.0
79M,32,11,0,1.0
79M,32,12,1,0.0
79M,32,12,0,0.5
79M,32,13,1,0.0
79M,32,13,0,0.5
79M,32,14,1,0.0
79M,32,14,0,0.5
79M,256,0,1,0.0
79M,256,0,0,0.0
79M,256,1,1,0.0
79M,256,1,0,0.5
79M,256,2,1,0.5
79M,256,2,0,0.0
79M,256,3,1,0.0
79M,256,3,0,0.5
79M,256,4,1,0.0
79M,256,4,0,0.0
79M,256,5,1,0.0
79M,256,5,0,0.0
79M,256,6,1,0.0
79M,256,6,0,0.0
79M,256,7,1,0.5
79M,256,7,0,0.0
79M,256,8,1,0.0
79M,256,8,0,0.0
79M,256,9,1,0.0
79M,256,9,0,0.5
79M,256,10,1,0.0
79M,256,10,0,0.5
79M,256,11,1,0.0
79M,256,11,0,0.5
79M,256,12,1,0.5
79M,256,12,0,0.0
79M,256,13,1,0.5
79M,256,13,0,0.0
79M,256,14,1,0.0
79M,256,14,0,0.5
