k,nodes,game,mpv_is_white,score_mpv
2,16384,0,1,1.0
2,16384,0,0,0.5
2,16384,1,1,0.0
2,16384,1,0,0.0
2,16384,2,1,0.5
2,16384,2,0,0.0
2,16384,3,1,0.5
2,16384,3,0,0.5
2,16384,4,1,0.5
2,16384,4,0,0.0
2,16384,5,1,0.5
2,16384,5,0,0.0
2,16384,6,1,0.0
2,16384,6,0,0.5
2,16384,7,1,0.0
2,16384,7,0,0.0
2,16384,8,1,0.5
2,16384,8,0,0.5
2,16384,9,1,1.0
2,16384,9,0,0.0
2,16384,10,1,0.0
2,16384,10,0,0.0
2,16384,11,1,0.5
2,16384,11,0,1.0
2,16384,12,1,0.5
2,16384,12,0,0.5
2,16384,13,1,0.5
2,16384,13,0,0.5
2,16384,14,1,1.0
2,16384,14,0,1.0
2,16384,15,1,0.0
2,16384,15,0,0.0
2,16384,16,1,0.5
2,16384,16,0,0.0
2,16384,17,1,0.5
2,16384,17,0,0.0
2,16384,18,1,1.0
2,16384,18,0,0.0
2,16384,19,1,0.5
2,16384,19,0,0.0
3,16384,0,1,0.5
3,16384,0,0,0.0
3,16384,1,1,0.0
3,16384,1,0,0.5
3,16384,2,1,0.0
3,16384,2,0,0.5
3,16384,3,1,0.0
3,16384,3,0,0.0
3,16384,4,1,0.0
3,16384,4,0,0.0
3,16384,5,1,0.5
3,16384,5,0,0.0
3,16384,6,1,0.5
3,16384,6,0,0.0
3,16384,7,1,0.0
3,16384,7,0,0.0
3,16384,8,1,0.5
3,16384,8,0,0.5
3,16384,9,1,0.5
3,16384,9,0,0.5
3,16384,10,1,0.0
3,16384,10,0,0.5
3,16384,11,1,0.0
3,16384,11,0,0.0
3,16384,12,1,0.5
3,16384,12,0,0.5
3,16384,13,1,0.0
3,16384,13,0,0.0
3,16384,14,1,0.0
3,16384,14,0,0.5
3,16384,15,1,0.5
3,16384,15,0,0.5
3,16384,16,1,0.0
3,16384,16,0,0.0
3,16384,17,1,1.0
3,16384,17,0,0.0
3,16384,18,1,0.0
3,16384,18,0,0.0
3,16384,19,1,0.0
3,16384,19,0,0.5
5,16384,0,1,0.5
5,16384,0,0,0.5
5,16384,1,1,0.0
5,16384,1,0,0.0
5,16384,2,1,1.0
5,16384,2,0,0.0
5,16384,3,1,0.0
5,16384,3,0,0.0
5,16384,4,1,0.0
5,16384,4,0,0.0
5,16384,5,1,0.0
5,16384,5,0,0.0
5,16384,6,1,0.5
5,16384,6,0,0.5
5,16384,7,1,0.0
5,16384,7,0,0.0
5,16384,8,1,0.0
5,16384,8,0,0.0
5,16384,9,1,0.5
5,16384,9,0,0.0
5,16384,10,1,0.5
5,16384,10,0,0.5
5,16384,11,1,0.0
5,16384,11,0,0.0
5,16384,12,1,0.0
5,16384,12,0,0.0
5,16384,13,1,0.0
5,16384,13,0,0.0
5,16384,14,1,0.0
5,16384,14,0,0.5
5,16384,15,1,0.0
5,16384,15,0,1.0
5,16384,16,1,0.5
5,16384,16,0,0.0
5,16384,17,1,0.0
5,16384,17,0,0.0
5,16384,18,1,0.5
5,16384,18,0,0.5
5,16384,19,1,0.0
5,16384,19,0,0.0
