low,high,game,low_is_white,score_low
RULESET,32,0,1,0.5
RULESET,32,0,0,0.0
RULESET,32,1,1,0.0
RULESET,32,1,0,0.0
RULESET,32,2,1,1.0
RULESET,32,2,0,0.5
RULESET,32,3,1,0.0
RULESET,32,3,0,0.0
RULESET,32,4,1,0.0
RULESET,32,4,0,0.0
RULESET,32,5,1,0.5
RULESET,32,5,0,1.0
RULESET,32,6,1,0.0
RULESET,32,6,0,0.5
RULESET,32,7,1,0.5
RULESET,32,7,0,0.0
RULESET,32,8,1,0.5
RULESET,32,8,0,0.0
RULESET,32,9,1,0.0
RULESET,32,9,0,0.5
RULESET,32,10,1,0.0
RULESET,32,10,0,0.0
RULESET,32,11,1,0.5
RULESET,32,11,0,0.5
RULESET,32,12,1,0.0
RULESET,32,12,0,0.0
RULESET,32,13,1,0.0
RULESET,32,13,0,0.0
RULESET,32,14,1,0.0
RULESET,32,14,0,0.0
RULESET,32,15,1,0.0
RULESET,32,15,0,0.0
RULESET,32,16,1,0.0
RULESET,32,16,0,0.0
RULESET,32,17,1,0.5
RULESET,32,17,0,0.5
RULESET,32,18,1,0.0
RULESET,32,18,0,0.5
RULESET,32,19,1,0.5
RULESET,32,19,0,1.0
RULESET,64,0,1,0.5
RULESET,64,0,0,0.5
RULESET,64,1,1,0.5
RULESET,64,1,0,1.0
RULESET,64,2,1,0.5
RULESET,64,2,0,0.0
RULESET,64,3,1,0.5
RULESET,64,3,0,0.0
RULESET,64,4,1,0.5
RULESET,64,4,0,0.0
RULESET,64,5,1,0.0
RULESET,64,5,0,0.0
RULESET,64,6,1,0.0
RULESET,64,6,0,0.0
RULESET,64,7,1,0.5
RULESET,64,7,0,0.5
RULESET,64,8,1,0.5
RULESET,64,8,0,0.0
RULESET,64,9,1,0.0
RULESET,64,9,0,0.5
RULESET,64,10,1,0.0
RULESET,64,10,0,0.0
RULESET,64,11,1,0.0
RULESET,64,11,0,0.5
RULESET,64,12,1,0.5
RULESET,64,12,0,0.0
RULESET,64,13,1,0.5
RULESET,64,13,0,0.0
RULESET,64,14,1,1.0
RULESET,64,14,0,0.5
RULESET,64,15,1,0.5
RULESET,64,15,0,0.5
RULESET,64,16,1,0.0
RULESET,64,16,0,0.5
RULESET,64,17,1,0.5
RULESET,64,17,0,0.5
RULESET,64,18,1,0.0
RULESET,64,18,0,0.0
RULESET,64,19,1,0.5
RULESET,64,19,0,0.5
EVALONLY,32,0,1,0.0
EVALONLY,32,0,0,0.0
EVALONLY,32,1,1,0.0
EVALONLY,32,1,0,1.0
EVALONLY,32,2,1,0.0
EVALONLY,32,2,0,0.5
EVALONLY,32,3,1,0.0
EVALONLY,32,3,0,1.0
EVALONLY,32,4,1,0.0
EVALONLY,32,4,0,1.0
EVALONLY,32,5,1,0.0
EVALONLY,32,5,0,0.0
EVALONLY,32,6,1,0.5
EVALONLY,32,6,0,1.0
EVALONLY,32,7,1,0.0
EVALONLY,32,7,0,0.0
EVALONLY,32,8,1,1.0
EVALONLY,32,8,0,0.5
EVALONLY,32,9,1,0.0
EVALONLY,32,9,0,0.0
EVALONLY,32,10,1,0.0
EVALONLY,32,10,0,0.5
EVALONLY,32,11,1,0.5
EVALONLY,32,11,0,0.0
EVALONLY,32,12,1,0.0
EVALONLY,32,12,0,0.0
EVALONLY,32,13,1,0.0
EVALONLY,32,13,0,1.0
EVALONLY,32,14,1,0.0
EVALONLY,32,14,0,0.5
EVALONLY,32,15,1,0.0
EVALONLY,32,15,0,1.0
EVALONLY,32,16,1,0.0
EVALONLY,32,16,0,0.5
EVALONLY,32,17,1,1.0
EVALONLY,32,17,0,0.0
EVALONLY,32,18,1,0.0
EVALONLY,32,18,0,0.0
EVALONLY,32,19,1,0.0
EVALONLY,32,19,0,0.0
EVALONLY,64,0,1,0.5
EVALONLY,64,0,0,1.0
EVALONLY,64,1,1,0.5
EVALONLY,64,1,0,0.0
EVALONLY,64,2,1,0.5
EVALONLY,64,2,0,0.0
EVALONLY,64,3,1,0.0
EVALONLY,64,3,0,0.0
EVALONLY,64,4,1,0.0
EVALONLY,64,4,0,1.0
EVALONLY,64,5,1,0.0
EVALONLY,64,5,0,0.0
EVALONLY,64,6,1,0.0
EVALONLY,64,6,0,0.5
EVALONLY,64,7,1,0.0
EVALONLY,64,7,0,0.5
EVALONLY,64,8,1,1.0
EVALONLY,64,8,0,0.0
EVALONLY,64,9,1,0.0
EVALONLY,64,9,0,1.0
EVALONLY,64,10,1,0.5
EVALONLY,64,10,0,1.0
EVALONLY,64,11,1,0.0
EVALONLY,64,11,0,0.0
EVALONLY,64,12,1,0.5
EVALONLY,64,12,0,1.0
EVALONLY,64,13,1,1.0
EVALONLY,64,13,0,0.0
EVALONLY,64,14,1,0.0
EVALONLY,64,14,0,0.0
EVALONLY,64,15,1,0.0
EVALONLY,64,15,0,0.0
EVALONLY,64,16,1,0.5
EVALONLY,64,16,0,0.0
EVALONLY,64,17,1,0.0
EVALONLY,64,17,0,0.0
EVALONLY,64,18,1,0.0
EVALONLY,64,18,0,0.0
EVALONLY,64,19,1,0.5
EVALONLY,64,19,0,0.0
