pair,pair_score_test,llr
0,1.0,0.0
1,1.5,0.2434
2,0.5,0.0075
3,1.0,0.0132
4,0.0,-0.1027
5,1.0,-0.1183
6,0.0,-0.1984
7,1.0,-0.2169
8,2.0,-0.0665
9,1.5,-0.0275
10,1.5,0.0125
11,0.0,-0.0581
12,1.0,-0.0618
13,0.5,-0.1028
14,0.5,-0.1472
15,1.0,-0.1552
16,2.0,-0.0574
17,1.0,-0.0596
18,0.5,-0.1011
19,1.0,-0.1051
20,0.5,-0.1507
21,0.5,-0.1984
22,2.0,-0.0949
23,1.5,-0.0535
24,1.5,-0.0115
25,0.0,-0.0872
26,0.5,-0.1271
27,1.0,-0.1305
28,1.5,-0.0888
29,2.0,-0.0053
30,1.0,-0.0043
31,1.5,0.0369
32,1.0,0.0392
33,1.5,0.0824
34,0.5,0.0423
35,1.0,0.0447
36,1.5,0.0898
37,1.5,0.1356
38,1.0,0.1404
39,1.5,0.1882
40,0.5,0.1446
41,1.0,0.1494
42,1.0,0.1543
43,1.5,0.2046
44,0.5,0.1583
45,1.5,0.2088
46,1.0,0.2148
47,0.5,0.167
48,1.5,0.2189
49,1.5,0.2713
50,0.5,0.2229
51,0.5,0.1746
52,1.5,0.2269
53,2.0,0.3156
54,1.0,0.3228
55,1.0,0.3301
56,0.5,0.2815
57,1.0,0.2879
58,1.5,0.3416
59,1.0,0.3488
60,1.0,0.3561
61,1.5,0.412
62,1.0,0.4201
63,0.5,0.3673
64,1.0,0.3745
65,1.0,0.3819
66,1.0,0.3892
67,1.0,0.3967
68,2.0,0.4936
69,1.0,0.5023
70,0.0,0.3754
71,0.0,0.2598
72,1.5,0.3134
73,1.5,0.3673
74,0.5,0.3172
75,1.5,0.3712
76,1.5,0.4256
77,2.0,0.5156
78,1.0,0.5237
79,2.0,0.6106
80,0.5,0.5619
81,0.5,0.5134
82,0.5,0.4651
83,0.5,0.417
84,0.5,0.369
85,1.0,0.3748
86,1.5,0.4275
87,1.5,0.4806
88,1.0,0.4875
89,1.5,0.5415
90,1.5,0.5959
91,0.0,0.4797
92,1.5,0.5325
93,1.5,0.5855
94,0.5,0.5368
95,0.5,0.4881
96,0.5,0.4396
97,1.0,0.4456
98,0.5,0.3966
99,1.0,0.4021
100,0.5,0.3526
101,1.0,0.3576
102,1.5,0.4113
103,1.0,0.4168
104,1.5,0.4713
105,1.0,0.4773
106,1.0,0.4833
107,1.0,0.4894
108,1.5,0.5455
109,1.5,0.6019
110,1.0,0.609
111,0.5,0.5557
112,1.5,0.6126
113,1.5,0.6698
114,1.5,0.7272
115,1.0,0.735
116,1.0,0.7429
117,1.0,0.7508
118,0.5,0.6956
119,1.5,0.7543
120,0.5,0.6991
121,0.5,0.6441
122,1.5,0.7025
123,1.5,0.7612
124,1.5,0.8201
125,1.0,0.8283
126,0.0,0.6987
127,1.5,0.7566
128,0.5,0.7023
129,1.0,0.7093
