pair,pair_score_test,llr
0,1.5,0.0
1,1.0,0.1118
2,0.5,-0.0019
3,0.5,-0.0443
4,0.5,-0.0932
5,1.0,-0.1081
6,1.0,-0.1234
7,2.0,-0.0033
8,0.5,-0.0329
9,1.0,-0.037
10,1.5,-0.005
11,1.0,-0.006
12,1.0,-0.007
13,1.0,-0.0081
14,1.0,-0.0093
15,0.5,-0.0518
16,1.0,-0.0557
17,0.5,-0.0994
18,0.5,-0.1429
19,0.0,-0.1933
20,2.0,-0.097
21,1.0,-0.102
22,0.5,-0.1346
23,0.5,-0.1681
24,1.0,-0.1753
25,1.0,-0.1825
26,1.0,-0.1897
27,0.5,-0.2272
28,0.5,-0.2656
29,0.0,-0.3096
30,0.5,-0.3481
31,1.0,-0.3585
32,0.5,-0.3987
33,1.0,-0.4097
34,1.0,-0.4207
35,0.5,-0.4632
36,0.5,-0.5068
37,0.0,-0.5471
38,1.5,-0.4957
39,1.5,-0.4494
40,1.0,-0.4598
41,1.0,-0.4702
42,0.0,-0.5118
43,1.5,-0.4686
44,1.5,-0.4285
45,1.5,-0.391
46,1.0,-0.3994
47,0.0,-0.442
48,1.0,-0.4508
49,1.0,-0.4597
50,1.5,-0.4227
51,0.5,-0.4576
52,1.0,-0.4662
53,1.0,-0.4748
54,0.5,-0.5111
55,1.5,-0.4725
56,1.0,-0.4808
57,0.5,-0.5171
58,2.0,-0.4189
59,1.0,-0.4261
60,0.5,-0.46
61,0.0,-0.5035
62,1.0,-0.5114
63,2.0,-0.4232
64,2.0,-0.3468
65,0.0,-0.3888
66,0.0,-0.4294
67,0.5,-0.4584
68,1.0,-0.4652
69,1.0,-0.4719
70,1.5,-0.4437
71,2.0,-0.3741
72,1.5,-0.3486
73,0.5,-0.3759
74,1.5,-0.3503
75,1.5,-0.3251
76,1.0,-0.3296
77,1.0,-0.3342
78,0.0,-0.3761
79,0.5,-0.4034
80,1.0,-0.4086
81,1.5,-0.3827
82,1.0,-0.3876
83,1.5,-0.3616
84,0.5,-0.3892
85,1.5,-0.3632
86,1.0,-0.3677
87,0.5,-0.3955
88,1.0,-0.4002
89,0.5,-0.4285
90,0.5,-0.4571
91,1.0,-0.4623
92,1.0,-0.4676
93,0.5,-0.4969
94,1.5,-0.4687
95,0.5,-0.498
96,1.5,-0.4698
97,0.5,-0.499
98,1.0,-0.5044
99,1.0,-0.5097
100,0.5,-0.5396
101,1.0,-0.5452
102,0.5,-0.5755
103,1.0,-0.5814
104,1.0,-0.5872
105,1.0,-0.593
106,1.0,-0.5988
107,0.5,-0.6303
108,1.0,-0.6363
109,0.0,-0.6812
110,0.0,-0.7249
111,0.0,-0.7675
112,0.5,-0.7988
113,2.0,-0.7193
114,0.5,-0.7495
115,1.0,-0.7561
116,0.0,-0.7977
117,1.5,-0.7685
118,1.5,-0.7396
119,1.0,-0.746
120,1.0,-0.7523
121,1.0,-0.7587
122,1.0,-0.765
123,1.5,-0.7355
124,0.5,-0.7658
125,0.5,-0.7963
126,0.5,-0.827
127,1.0,-0.8336
128,2.0,-0.7562
129,1.5,-0.7275
130,0.0,-0.77
131,1.0,-0.776
132,0.0,-0.8179
133,1.0,-0.8242
134,2.0,-0.7517
135,0.5,-0.7805
136,1.5,-0.7531
137,1.0,-0.7588
138,1.0,-0.7645
139,1.0,-0.7702
140,1.0,-0.7759
141,1.0,-0.7816
142,0.5,-0.8111
143,0.0,-0.8534
144,1.5,-0.8252
145,1.0,-0.8311
146,1.0,-0.837
147,0.5,-0.8666
148,0.5,-0.8964
149,1.0,-0.9026
150,1.5,-0.8736
151,0.0,-0.916
152,0.0,-0.9577
153,0.5,-0.9874
154,0.5,-1.0173
155,1.5,-0.9886
156,0.5,-1.0184
157,1.0,-1.025
158,1.5,-0.9961
159,1.5,-0.9675
160,1.5,-0.9392
161,1.0,-0.9452
162,0.5,-0.9748
163,1.0,-0.9809
164,0.5,-1.0109
165,0.0,-1.0527
166,1.5,-1.0241
167,0.5,-1.0538
168,0.0,-1.0952
169,1.0,-1.1018
170,1.0,-1.1083
171,1.5,-1.0795
172,0.5,-1.1094
173,0.5,-1.1394
174,1.0,-1.146
175,1.0,-1.1527
176,1.5,-1.1233
177,1.0,-1.1298
178,1.0,-1.1362
179,0.5,-1.1667
180,1.5,-1.1371
181,1.0,-1.1435
182,0.5,-1.174
183,1.5,-1.1443
184,1.0,-1.1507
185,0.5,-1.1813
186,0.0,-1.2236
187,1.0,-1.2302
188,0.5,-1.261
189,1.5,-1.231
190,1.0,-1.2376
191,1.0,-1.2441
192,1.0,-1.2507
193,0.5,-1.2818
194,0.5,-1.3129
195,0.0,-1.3553
196,1.0,-1.3622
197,1.0,-1.3692
198,0.0,-1.4112
199,1.0,-1.4183
200,0.5,-1.4498
201,1.0,-1.457
202,1.0,-1.4642
203,1.0,-1.4714
204,1.5,-1.4399
205,0.5,-1.4717
206,1.0,-1.4788
207,0.5,-1.5108
208,1.5,-1.479
209,2.0,-1.3965
210,1.5,-1.3661
211,0.5,-1.3971
212,1.0,-1.4038
213,2.0,-1.3247
214,1.0,-1.331
215,0.5,-1.3616
216,1.0,-1.3681
217,0.5,-1.3989
218,1.0,-1.4054
219,1.5,-1.3751
220,1.0,-1.3815
221,1.0,-1.3879
222,0.5,-1.419
223,1.0,-1.4255
224,1.5,-1.3948
225,0.5,-1.4259
226,0.5,-1.4572
227,0.5,-1.4885
228,1.5,-1.4576
229,0.0,-1.5008
230,1.0,-1.5074
231,0.0,-1.5503
232,1.5,-1.5197
233,0.5,-1.5508
234,1.5,-1.5203
235,0.5,-1.5513
236,1.0,-1.558
237,1.5,-1.5274
238,0.5,-1.5585
239,0.5,-1.5897
240,1.5,-1.559
241,1.0,-1.5656
242,1.5,-1.535
243,1.5,-1.5046
244,0.5,-1.5355
245,1.0,-1.5419
246,1.5,-1.5115
247,1.0,-1.5177
248,0.5,-1.5488
249,1.5,-1.5183
250,1.5,-1.4879
251,0.5,-1.5188
252,1.5,-1.4885
253,0.5,-1.5193
254,0.0,-1.563
255,0.0,-1.6061
256,0.5,-1.6369
257,0.5,-1.6678
258,0.5,-1.6988
259,0.0,-1.7413
260,0.5,-1.7724
261,1.0,-1.7792
262,0.0,-1.8214
263,1.0,-1.8283
264,2.0,-1.7481
265,1.0,-1.7547
266,1.0,-1.7614
267,0.5,-1.7923
268,1.5,-1.7621
269,0.5,-1.7929
270,1.0,-1.7996
271,1.0,-1.8064
272,2.0,-1.7273
273,0.5,-1.7578
274,0.5,-1.7884
275,0.5,-1.8191
276,0.5,-1.8499
277,1.0,-1.8567
278,1.5,-1.8265
279,1.5,-1.7964
280,0.0,-1.8387
281,1.0,-1.8454
282,1.0,-1.852
283,0.0,-1.8941
284,0.5,-1.9249
285,0.5,-1.9558
286,1.0,-1.9626
287,1.0,-1.9695
288,0.5,-2.0006
289,1.0,-2.0076
290,0.0,-2.0495
291,1.5,-2.019
292,1.5,-1.9887
293,1.0,-1.9955
294,0.0,-2.0374
295,0.0,-2.079
296,1.5,-2.0489
297,1.0,-2.0559
298,1.0,-2.0628
299,1.5,-2.0327
